date,year,prediction_row_id,tourney_id,tourney_name,tourney_date,round,event_id,surface,player_a_name,player_b_name,predicted_prob_a,rank_diff,market_prob_a,clv_bet365,date_distance_days,matched_date_distance,odds_a,odds_b,actual_result,source_bookmaker,odds_source_confidence,shuffled_predicted_prob_a,shuffled_clv_bet365,random_market_centered_prob_a,random_market_centered_clv_bet365
2025-01-06,2025,46,2025-2831,Oeiras 1 CH,2025-01-06,Q2,13302209,Hard,Ricardas Berankis,Tiago Pereira,0.71720535,204,0.6450511945392492,0.07215415546075077,0,0,1.4444444444444444,2.625,1,bet365_via_sofascore,latest_pre_match_assumed,0.406218,-0.23883319453924917,0.7536885282406588,0.1086373337014096
2025-01-06,2025,47,2025-2831,Oeiras 1 CH,2025-01-06,R32,13299874,Hard,Gastao Elias,Daniel Rincon,0.5258091,-42,0.5,0.02580910000000003,1,1,1.83,1.83,0,bet365_via_sofascore,latest_pre_match_assumed,0.7195831,0.21958310000000003,0.41331857008342393,-0.08668142991657607
2025-01-06,2025,48,2025-2831,Oeiras 1 CH,2025-01-06,R32,13299872,Hard,Lorenzo Giustino,Ergi Kirkin,0.5857506,21,0.6086956521739131,-0.022945052173913072,0,0,1.53,2.38,0,bet365_via_sofascore,latest_pre_match_assumed,0.39721963,-0.2114760221739131,0.690306049509528,0.08161039733561493
2025-01-06,2025,49,2025-2831,Oeiras 1 CH,2025-01-06,Q1,13299869,Hard,Alexey Vatutin,Justin Engel,0.5906111,79,0.5887850467289719,0.0018260532710281385,1,1,1.5714285714285714,2.25,1,bet365_via_sofascore,latest_pre_match_assumed,0.30212894,-0.2866561067289719,0.6843169685818964,0.09553192185292447
2025-01-06,2025,50,2025-2831,Oeiras 1 CH,2025-01-06,R32,13304341,Hard,Egor Gerasimov,Hamad Medjedovic,0.23719071,-256,0.1716867469879518,0.0655039630120482,1,1,5.5,1.14,0,bet365_via_sofascore,latest_pre_match_assumed,0.48561615,0.3139294030120482,0.14209585131312935,-0.029590895674822454
2025-01-06,2025,51,2025-2831,Oeiras 1 CH,2025-01-06,Q1,13299868,Hard,Egor Gerasimov,James Tracy,0.7433536,889,0.5887850467289719,0.15456855327102803,1,1,1.5714285714285714,2.25,1,bet365_via_sofascore,latest_pre_match_assumed,0.40100986,-0.18777518672897192,0.6189778900959958,0.03019284336702388
2025-01-06,2025,52,2025-2831,Oeiras 1 CH,2025-01-06,R32,13299870,Hard,Denis Yevseyev,Antoine Cornut Chauvinc,0.67815596,359,0.5759162303664922,0.1022397296335078,0,0,1.62,2.2,0,bet365_via_sofascore,latest_pre_match_assumed,0.32374272,-0.2521735103664922,0.8147753355006767,0.2388591051341845
2025-01-06,2025,53,2025-2831,Oeiras 1 CH,2025-01-06,R16,13293845,Hard,Karue Sell,Rudolf Molleker,0.6643539,23,0.6461916461916463,0.01816225380835379,2,2,1.44,2.63,0,bet365_via_sofascore,latest_pre_match_assumed,0.36061293,-0.28557871619164626,0.5928973315577583,-0.05329431463388801
2025-01-06,2025,54,2025-2831,Oeiras 1 CH,2025-01-06,R32,13299881,Hard,Karue Sell,Robin Bertrand,0.6452904,4,0.6626506024096386,-0.017360202409638537,0,0,1.4,2.75,1,bet365_via_sofascore,latest_pre_match_assumed,0.44868502,-0.2139655824096386,0.6448454683821584,-0.017805134027480185
2025-01-06,2025,55,2025-2831,Oeiras 1 CH,2025-01-06,R32,13304346,Hard,Alexander Ritschard,Sebastian Fanselow,0.78527445,329,0.6880733944954129,0.09720105550458702,1,1,1.36,3.0,1,bet365_via_sofascore,latest_pre_match_assumed,0.31982604,-0.36824735449541296,0.6402874829187483,-0.047785911576664675
