date,year,prediction_row_id,tourney_id,tourney_name,tourney_date,round,event_id,surface,player_a_name,player_b_name,predicted_prob_a,rank_diff,market_prob_a,clv_bet365,date_distance_days,matched_date_distance,odds_a,odds_b,actual_result,source_bookmaker,odds_source_confidence,shuffled_predicted_prob_a,shuffled_clv_bet365,random_market_centered_prob_a,random_market_centered_clv_bet365,calibrated_prob_a,calibrated_clv
2025-01-06,2025,36,2025-2795,Nonthaburi 2 CH,2025-01-06,Q1,13299091,Hard,Neil Oberleitner,Yuttana Charoenphon,0.90710515,1044,0.865979381443299,0.041125768556701,1,1,1.0833333333333333,7.0,1,bet365_via_sofascore,latest_pre_match_assumed,0.28204796,-0.583931421443299,0.9800289416896476,0.1140495602463484,0.9473684210526315,0.08138903960933253
2025-01-06,2025,37,2025-2795,Nonthaburi 2 CH,2025-01-06,Q1,13299099,Hard,Jakub Paul,Keisuke Saitoh,0.7680647,190,0.75,0.0180647,1,1,1.25,3.75,1,bet365_via_sofascore,latest_pre_match_assumed,0.38367525,-0.36632475,0.8069967970395553,0.0569967970395552,0.7853982300884956,0.03539823008849563
2025-01-06,2025,38,2025-2795,Nonthaburi 2 CH,2025-01-06,QF,13293762,Hard,Jakub Paul,Murphy Cassone,0.4185628,-76,0.391304347826087,0.027258452173913,3,3,2.38,1.53,0,bet365_via_sofascore,latest_pre_match_assumed,0.4777484,0.086444052173913,0.2931328659751503,-0.0981714818509366,0.3789173789173788,-0.012386968908708162
2025-01-06,2025,39,2025-2795,Nonthaburi 2 CH,2025-01-06,Q2,13301453,Hard,Jakub Paul,Pawit Sornlaksup,0.82296467,490,0.75,0.0729646699999999,0,0,1.25,3.75,1,bet365_via_sofascore,latest_pre_match_assumed,0.39534742,-0.35465258,0.7725473951191398,0.0225473951191398,0.8472222222222222,0.09722222222222221
2025-01-06,2025,40,2025-2795,Nonthaburi 2 CH,2025-01-06,Q1,13299093,Hard,Stefanos Sakellaridis,Ryotaro Taguchi,0.45462137,78,0.4112149532710279,0.0434064167289721,1,1,2.25,1.5714285714285714,0,bet365_via_sofascore,latest_pre_match_assumed,0.52032286,0.1091079067289721,0.4416904717476499,0.030475518476622,0.4397590361445783,0.02854408287355037
2025-01-06,2025,41,2025-2795,Nonthaburi 2 CH,2025-01-06,R16,13293754,Hard,Murphy Cassone,Andre Ilagan,0.61722547,54,0.625,-0.0077745299999999,2,2,1.5,2.5,1,bet365_via_sofascore,latest_pre_match_assumed,0.5269978,-0.0980022,0.6079471660030493,-0.0170528339969506,0.6130790190735697,-0.011920980926430347
2025-01-06,2025,42,2025-2795,Nonthaburi 2 CH,2025-01-06,Q1,13299097,Hard,Natthayut Nithithananont,Kokoro Isomura,0.1052882,-1676,0.088937093275488,0.0163511067245119,1,1,10.5,1.025,0,bet365_via_sofascore,latest_pre_match_assumed,0.6321363,0.5431992067245119,0.1366670409431211,0.0477299476676331,0.11594202898550725,0.027004935710019246
2025-01-06,2025,43,2025-2795,Nonthaburi 2 CH,2025-01-06,Q1,13299092,Hard,Karan Singh,Pawit Sornlaksup,0.69268924,427,0.5887850467289719,0.103904193271028,1,1,1.5714285714285714,2.25,0,bet365_via_sofascore,latest_pre_match_assumed,0.5653276,-0.0234574467289718,0.4516581283245688,-0.1371269184044031,0.6887966804979253,0.10001163376895339
2025-01-06,2025,44,2025-2831,Oeiras 1 CH,2025-01-06,Q1,13299879,Hard,Ricardas Berankis,Evgeny Karlovskiy,0.70528847,113,0.6626506024096386,0.0426378675903613,1,1,1.4,2.75,1,bet365_via_sofascore,latest_pre_match_assumed,0.7013174,0.0386667975903614,0.6282931587293267,-0.0343574436803119,0.6962457337883958,0.03359513137875725
2025-01-06,2025,45,2025-2831,Oeiras 1 CH,2025-01-06,R32,13304343,Hard,Ricardas Berankis,Zsombor Piros,0.38331333,-64,0.5,-0.1166866699999999,1,1,1.83,1.83,0,bet365_via_sofascore,latest_pre_match_assumed,0.6460281,0.1460281,0.5413320955596834,0.0413320955596834,0.3788659793814433,-0.12113402061855671
