date,tour,player_a,player_b,surface,edge,edge_tier,stake_eur,odds,result,pnl_eur,bankroll_after
2026-03-16,Challenger,Gonzalo Bueno,Joao Pedro Didoni Bonini,Clay,0.0336,Small,2.14,1.05,1,0.11,215.0
2026-03-16,Challenger,Mirza Basic,Nazar Oliynykov,Clay,0.0354,Small,2.14,1.02,1,0.05,215.0
2026-03-16,Challenger,Laurent Lokoli,Karlo Kajin,Clay,0.0321,Small,2.14,1.06,1,0.13,215.0
2026-03-16,Challenger,Martin Krumich,John Sperle,Clay,0.0354,Small,2.14,1.25,1,0.54,215.0
2026-03-23,Challenger,Hynek Barton,Niels Mcdonald,Clay,0.0332,Small,2.14,1.2,1,0.43,216.41
2026-03-23,Challenger,Wilson Leite,Glauco Pinheiro Da Cruz Junior,Clay,0.0321,Small,2.14,1.06,1,0.13,216.41
2026-03-23,Challenger,Juan Manuel La Serna,Carlos Maria Zarate,Clay,0.038,Small,2.14,1.4,1,0.86,216.41
2026-03-30,Challenger,Hugo Dellien,Lautaro Midon,Clay,0.0426,Small,2.16,1.44,1,0.95,219.01
2026-03-30,Challenger,Lorenzo Joaquin Rodriguez,Maximo Zeitune,Clay,0.0336,Small,2.16,1.4,1,0.86,219.01
2026-03-30,Challenger,Valentin Royer,Edas Butvilas,Clay,0.0371,Small,2.16,1.36,1,0.78,219.01
2026-04-06,Challenger,Raphael Collignon,Martin Landaluce,Clay,0.0426,Small,2.19,1.44,1,0.96,219.04
2026-04-06,Challenger,Yibing Wu,Darwin Blanch,Clay,0.0377,Small,2.19,1.36,1,0.8,219.04
2026-04-06,Challenger,Liam Draxl,Kaylan Bigun,Clay,0.0333,Small,2.19,1.14,1,0.31,219.04
2026-04-06,Challenger,Liam Draxl,Teodor Davidov,Clay,0.0321,Small,2.19,1.06,1,0.14,219.04
2026-04-06,Challenger,Juan Pablo Varillas,Victor Braga,Clay,0.032,Small,2.19,1.0,1,0.01,219.04
2026-04-06,Challenger,Pablo Llamas Ruiz,Alejandro Moro Canas,Clay,0.0437,Small,2.19,1.44,0,-2.19,219.04
2026-04-13,Challenger,Hugo Dellien,Juan Estevez,Clay,0.0354,Small,2.19,1.25,1,0.55,219.58
2026-04-20,Challenger,Nick Hardt,Boris Kozlov,Clay,0.0489,Small,2.19,1.08,1,0.18,219.77
2026-04-27,Challenger,Jonas Forejtek,Martin Doskocil,Clay,0.0363,Small,2.19,1.02,1,0.05,219.78
2026-04-27,Challenger,Dominic Stricker,Matyas Cerny,Clay,0.0332,Small,2.19,1.2,0,-2.19,219.78
2026-04-27,Challenger,Edas Butvilas,Gerard Campana Lee,Clay,0.038,Small,2.19,1.4,1,0.88,219.78
2026-04-27,Challenger,David Jorda Sanchis,Daniel Cukierman,Clay,0.0371,Small,2.19,1.36,1,0.79,219.78
2026-04-27,Challenger,David Jorda Sanchis,Stefan Latinovic,Clay,0.0332,Small,2.19,1.2,1,0.44,219.78
2026-04-27,Challenger,Cezar Cretu,Bastian Berenz,Clay,0.0322,Small,2.19,1.02,1,0.04,219.78
2026-04-28,Challenger,Martin Landaluce,Daniel Jade,Clay,0.0404,Small,2.19,1.03,1,0.07,219.84
