date,player_a,player_b,surface,predicted_prob_a,betfair_true_prob_a,clv_betfair,pinnacle_true_prob_a,clv_pinnacle,max_true_prob_a,clv_max,actual_winner
2026-03-04,Benjamin Bonzi,Valentin Royer,Hard,0.51004696,0.5175879396984925,-0.007540979698492434,,,0.5089974293059126,0.0010495306940874194,1
2026-03-04,Camilo Ugo Carabelli,Brandon Nakashima,Hard,0.271713,0.18836140888208272,0.08335159111791726,,,0.19484702093397746,0.07686597906602252,0
2026-03-04,Casper Ruud,Alexander Shevchenko,Hard,0.80876404,0.8208955223880597,-0.012131482388059722,,,0.8164852255054432,-0.007721185505443207,1
2026-03-04,Corentin Moutet,Aleksandar Kovacevic,Hard,0.610061,0.5853658536585367,0.024695146341463303,,,0.5728643216080401,0.037196678391959836,0
2026-03-04,Damir Dzumhur,Jacob Fearnley,Hard,0.42608014,0.45273631840796025,-0.02665617840796025,,,0.4430379746835443,-0.01695783468354428,0
2026-03-04,Daniel Merida Aguilar,Alex Michelsen,Hard,0.1171971,0.27710843373493976,-0.15991133373493976,,,0.2618110236220473,-0.14461392362204728,0
2026-03-04,Frances Tiafoe,Flavio Cobolli,Hard,0.56690365,0.531328320802005,0.035575329197995,,,0.5348837209302325,0.03201992906976747,1
2026-03-04,Frances Tiafoe,Jenson Brooksby,Hard,0.5020574,0.4987468671679198,0.0033105328320801597,,,0.4987146529562982,0.003342747043701799,1
2026-03-04,Gael Monfils,Alexis Galarneau,Hard,0.6794521,0.6057692307692307,0.07368286923076928,,,0.5970149253731344,0.08243717462686562,1
2026-03-04,Gael Monfils,Felix Auger Aliassime,Hard,0.20614436,0.18711656441717794,0.019027795582822055,,,0.18604651162790697,0.020097848372093025,0
2026-03-04,Grigor Dimitrov,Terence Atmane,Hard,0.7522158,0.5922330097087379,0.15998279029126206,,,0.583756345177665,0.16845945482233504,1
2026-03-04,Hubert Hurkacz,Aleksandar Kovacevic,Hard,0.65581006,0.6813186813186813,-0.025508621318681368,,,0.6756756756756758,-0.019865615675675796,0
2026-03-04,James Duckworth,Dalibor Svrcina,Hard,0.47541347,0.3201754385964912,0.15523803140350878,,,0.32584269662921345,0.14957077337078656,0
2026-03-04,Jannik Sinner,Dalibor Svrcina,Hard,0.9469892,0.9671179883945842,-0.020128788394584207,,,0.9622501850481125,-0.015260985048112574,1
2026-03-04,Karen Khachanov,Joao Fonseca,Hard,0.5443894,0.4306930693069307,0.11369633069306934,,,0.4332493702770781,0.11114002972292192,0
2026-03-04,Mackenzie Mcdonald,Matteo Arnaldi,Hard,0.4576798,0.5922330097087379,-0.1345532097087379,,,0.581453634085213,-0.12377383408521297,1
