date,player_a_id,player_b_id,player_a_name,player_b_name,surface,elo_diff,surface_elo_diff,rank_diff,points_diff,recent_form_diff,recent_surface_form_diff,win_pct_diff,matches_played_diff,result
2020-01-06,105676,105554,David Goffin,Daniel Evans,Hard,16.711186166129664,16.711186166129664,31,1211,0.33333333333333337,0.33333333333333337,0.33333333333333337,-1,0
2020-01-06,104327,111815,Steve Darcis,Cameron Norrie,Hard,-2.20580832249766,-2.20580832249766,-148,-733,0.33333333333333337,0.33333333333333337,0.33333333333333337,-2,1
2020-01-06,111815,104327,Cameron Norrie,Steve Darcis,Hard,2.20580832249766,2.20580832249766,148,733,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,2,0
2020-01-06,105676,105777,David Goffin,Grigor Dimitrov,Hard,-18.86482964411198,-18.86482964411198,9,633,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,1,1
2020-01-06,105777,105676,Grigor Dimitrov,David Goffin,Hard,18.86482964411198,18.86482964411198,-9,-633,0.33333333333333337,0.33333333333333337,0.33333333333333337,-1,0
2020-01-06,106220,104327,Dimitar Kuzmanov,Steve Darcis,Hard,-31.368385126964313,-31.368385126964313,-217,-162,-0.5,-0.5,-0.5,0,1
2020-01-06,104327,106220,Steve Darcis,Dimitar Kuzmanov,Hard,31.368385126964313,31.368385126964313,217,162,0.5,0.5,0.5,0,0
2020-01-06,104424,105899,Go Soeda,Martin Cuevas,Hard,1.4999226566326342,1.4999226566326342,404,409,0.0,0.0,0.5,2,1
2020-01-06,105899,104424,Martin Cuevas,Go Soeda,Hard,-1.4999226566326342,-1.4999226566326342,-404,-409,-0.0,-0.0,-0.5,-2,0
2020-01-06,105550,105227,Guido Pella,Marin Cilic,Hard,-48.70246717252462,-48.70246717252462,13,365,-1.0,-1.0,-1.0,1,1
2020-01-06,105227,105550,Marin Cilic,Guido Pella,Hard,48.70246717252462,48.70246717252462,-13,-365,1.0,1.0,1.0,-1,0
2020-01-06,105227,200390,Marin Cilic,Kacper Zuk,Hard,-17.491949022057497,-17.491949022057497,410,1095,-0.5,-0.5,-0.5,1,1
2020-01-06,200390,105227,Kacper Zuk,Marin Cilic,Hard,17.491949022057497,17.491949022057497,-410,-1095,0.5,0.5,0.5,-1,0
2020-01-06,105550,111794,Guido Pella,Kamil Majchrzak,Hard,-14.474211356945034,-14.474211356945034,72,955,-0.16666666666666669,-0.16666666666666669,0.3333333333333333,3,1
2020-01-06,111794,105550,Kamil Majchrzak,Guido Pella,Hard,14.474211356945034,14.474211356945034,-72,-955,0.16666666666666669,0.16666666666666669,-0.3333333333333333,-3,0
2020-01-06,105916,117356,Marton Fucsovics,Cem Ilkel,Hard,0.0,0.0,209,646,0.0,0.0,0.0,0,1
2020-01-06,117356,105916,Cem Ilkel,Marton Fucsovics,Hard,0.0,0.0,-209,-646,-0.0,-0.0,-0.0,0,0
2020-01-06,200175,104542,Miomir Kecmanovic,Jo-Wilfried Tsonga,Hard,0.0,0.0,-32,-459,0.0,0.0,0.0,0,1
2020-01-06,104542,200175,Jo-Wilfried Tsonga,Miomir Kecmanovic,Hard,0.0,0.0,32,459,-0.0,-0.0,-0.0,0,0
2020-01-06,105732,111513,Pierre Hugues Herbert,Laslo Djere,Hard,0.0,0.0,-26,-311,0.0,0.0,0.0,0,1
2020-01-06,111513,105732,Laslo Djere,Pierre Hugues Herbert,Hard,0.0,0.0,26,311,-0.0,-0.0,-0.0,0,0
2020-01-06,105138,105583,Roberto Bautista Agut,Dusan Lajovic,Hard,29.65882200435817,29.65882200435817,24,1084,0.19999999999999996,0.19999999999999996,0.19999999999999996,0,1
2020-01-06,105583,105138,Dusan Lajovic,Roberto Bautista Agut,Hard,-29.65882200435817,-29.65882200435817,-24,-1084,-0.19999999999999996,-0.19999999999999996,-0.19999999999999996,0,0
2020-01-06,104925,104745,Novak Djokovic,Rafael Nadal,Hard,29.9063478496239,29.9063478496239,-1,-930,0.19999999999999996,0.19999999999999996,0.19999999999999996,0,1
2020-01-06,104745,104925,Rafael Nadal,Novak Djokovic,Hard,-29.9063478496239,-29.9063478496239,1,930,-0.19999999999999996,-0.19999999999999996,-0.19999999999999996,0,0
2020-01-06,126094,105062,Andrey Rublev,Mikhail Kukushkin,Hard,0.0,0.0,43,768,0.0,0.0,0.0,0,1
2020-01-06,105062,126094,Mikhail Kukushkin,Andrey Rublev,Hard,0.0,0.0,-43,-768,-0.0,-0.0,-0.0,0,0
2020-01-06,104871,106296,Jeremy Chardy,Gregoire Barrere,Hard,0.0,0.0,29,284,0.0,0.0,0.0,0,1
2020-01-06,106296,104871,Gregoire Barrere,Jeremy Chardy,Hard,0.0,0.0,-29,-284,-0.0,-0.0,-0.0,0,0
2020-01-06,105379,144707,Aljaz Bedene,Mikael Ymer,Hard,0.0,0.0,18,224,0.0,0.0,0.0,0,1
2020-01-06,144707,105379,Mikael Ymer,Aljaz Bedene,Hard,0.0,0.0,-18,-224,-0.0,-0.0,-0.0,0,0
2020-01-06,104269,105936,Fernando Verdasco,Filip Krajinovic,Hard,0.0,0.0,-9,-123,0.0,0.0,0.0,0,1
2020-01-06,105936,104269,Filip Krajinovic,Fernando Verdasco,Hard,0.0,0.0,9,123,-0.0,-0.0,-0.0,0,0
2020-01-06,122330,105173,Alexander Bublik,Adrian Mannarino,Hard,0.0,0.0,-12,-192,0.0,0.0,0.0,0,1
2020-01-06,105173,122330,Adrian Mannarino,Alexander Bublik,Hard,0.0,0.0,12,192,-0.0,-0.0,-0.0,0,0
2020-01-06,128034,106043,Hubert Hurkacz,Diego Schwartzman,Hard,45.76171260064257,45.76171260064257,-24,-927,0.6666666666666667,0.6666666666666667,0.6666666666666667,-1,1
2020-01-06,106043,128034,Diego Schwartzman,Hubert Hurkacz,Hard,-45.76171260064257,-45.76171260064257,24,927,-0.6666666666666667,-0.6666666666666667,-0.6666666666666667,1,0
2020-01-06,105936,106378,Filip Krajinovic,Kyle Edmund,Hard,-16.0,-16.0,29,348,-0.5,-0.5,0.0,1,1
2020-01-06,106378,105936,Kyle Edmund,Filip Krajinovic,Hard,16.0,16.0,-29,-348,0.5,0.5,-0.0,-1,0
2020-01-06,105916,126207,Marton Fucsovics,Frances Tiafoe,Hard,16.0,16.0,-23,-260,0.5,0.5,1.0,1,1
2020-01-06,126207,105916,Frances Tiafoe,Marton Fucsovics,Hard,-16.0,-16.0,23,260,-0.5,-0.5,-1.0,-1,0
2020-01-06,117356,105575,Cem Ilkel,Ricardas Berankis,Hard,-16.0,-16.0,-212,-660,-0.5,-0.5,0.0,1,1
2020-01-06,105575,117356,Ricardas Berankis,Cem Ilkel,Hard,16.0,16.0,212,660,0.5,0.5,-0.0,-1,0
2020-01-06,200175,111442,Miomir Kecmanovic,Jordan Thompson,Hard,16.0,16.0,1,3,0.5,0.5,1.0,1,1
2020-01-06,111442,200175,Jordan Thompson,Miomir Kecmanovic,Hard,-16.0,-16.0,-1,-3,-0.5,-0.5,-1.0,-1,0
2020-01-06,111513,132283,Laslo Djere,Lorenzo Sonego,Hard,-16.0,-16.0,12,161,-0.5,-0.5,0.0,1,1
2020-01-06,132283,111513,Lorenzo Sonego,Laslo Djere,Hard,16.0,16.0,-12,-161,0.5,0.5,-0.0,-1,0
2020-01-06,105732,106065,Pierre Hugues Herbert,Marco Cecchinato,Hard,16.0,16.0,10,150,0.5,0.5,1.0,1,1
2020-01-06,106065,105732,Marco Cecchinato,Pierre Hugues Herbert,Hard,-16.0,-16.0,-10,-150,-0.5,-0.5,-1.0,-1,0
2020-01-06,105062,104291,Mikhail Kukushkin,Malek Jaziri,Hard,-16.0,-16.0,163,610,-0.5,-0.5,0.0,1,1
2020-01-06,104291,105062,Malek Jaziri,Mikhail Kukushkin,Hard,16.0,16.0,-163,-610,0.5,0.5,-0.0,-1,0
2020-01-06,144895,105815,Corentin Moutet,Tennys Sandgren,Hard,0.0,0.0,-13,-165,0.0,0.0,0.0,0,1
2020-01-06,105815,144895,Tennys Sandgren,Corentin Moutet,Hard,0.0,0.0,13,165,-0.0,-0.0,-0.0,0,0
2020-01-06,144895,105683,Corentin Moutet,Milos Raonic,Hard,16.0,16.0,-49,-667,0.5,0.5,1.0,1,1
2020-01-06,105683,144895,Milos Raonic,Corentin Moutet,Hard,-16.0,-16.0,49,667,-0.5,-0.5,-1.0,-1,0
2020-01-06,104269,104665,Fernando Verdasco,Pablo Andujar,Hard,16.0,16.0,15,158,0.5,0.5,1.0,1,1
2020-01-06,104665,104269,Pablo Andujar,Fernando Verdasco,Hard,-16.0,-16.0,-15,-158,-0.5,-0.5,-1.0,-1,0
2020-01-06,104527,104871,Stan Wawrinka,Jeremy Chardy,Hard,-16.0,-16.0,39,1035,-0.5,-0.5,-1.0,-1,1
