candidate,wf_period,shrinkage_factor,edge_threshold,bet_count,hit_rate,avg_odds,mean_prob,mean_market_prob,mean_edge,roi,calibration_error,log_loss
near_dog_logit_no_elo,tune,0.5,0.03,57,0.45614,2.396135,0.484004,0.396457,0.087547,0.073482,0.027863,0.68286
near_dog_logit_no_elo,tune,0.5,0.05,42,0.5,2.374606,0.503185,0.398493,0.104692,0.168807,0.003185,0.694455
near_dog_logit_no_elo,tune,0.5,0.07,35,0.542857,2.355728,0.514537,0.400578,0.113959,0.255997,0.02832,0.696947
near_dog_logit_no_elo,tune,0.5,0.1,22,0.5,2.324973,0.537803,0.406802,0.131001,0.139995,0.037803,0.693959
near_dog_logit_no_elo,tune,0.75,0.0,94,0.43617,2.410509,0.481996,0.394833,0.087163,0.042452,0.045826,0.690379
near_dog_logit_no_elo,tune,0.75,0.01,79,0.443038,2.40573,0.498152,0.395532,0.10262,0.045199,0.055114,0.687795
near_dog_logit_no_elo,tune,0.75,0.02,75,0.466667,2.398135,0.503777,0.396327,0.10745,0.100943,0.03711,0.697788
near_dog_logit_no_elo,tune,0.75,0.03,67,0.432836,2.396146,0.514266,0.396908,0.117358,0.016578,0.08143,0.685083
near_dog_logit_no_elo,tune,0.75,0.05,54,0.444444,2.395017,0.531791,0.395889,0.135902,0.04245,0.087346,0.691435
near_dog_logit_no_elo,tune,0.75,0.07,43,0.511628,2.376414,0.553802,0.398709,0.155093,0.198658,0.042174,0.707524
near_dog_logit_no_elo,tune,0.75,0.1,36,0.555556,2.363347,0.568294,0.399279,0.169014,0.294164,0.012738,0.710037
near_dog_logit_no_elo,tune,1.0,0.0,94,0.43617,2.410509,0.51105,0.394833,0.116218,0.042452,0.07488,0.705839
near_dog_logit_no_elo,tune,1.0,0.01,87,0.448276,2.413276,0.51996,0.394611,0.125349,0.06742,0.071684,0.709007
near_dog_logit_no_elo,tune,1.0,0.02,75,0.466667,2.398135,0.539593,0.396327,0.143266,0.100943,0.072927,0.716954
near_dog_logit_no_elo,tune,1.0,0.03,73,0.452055,2.401098,0.542432,0.396015,0.146417,0.068366,0.090377,0.713834
near_dog_logit_no_elo,tune,1.0,0.05,63,0.444444,2.392488,0.560915,0.397432,0.163482,0.04144,0.11647,0.711523
near_dog_logit_no_elo,tune,1.0,0.07,54,0.444444,2.395017,0.577092,0.395889,0.181203,0.04245,0.132647,0.719185
near_dog_logit_no_elo,tune,1.0,0.1,42,0.5,2.374606,0.607877,0.398493,0.209384,0.168807,0.107877,0.737639
near_dog_logit_no_serve_return,tune,0.25,0.0,80,0.4625,2.396989,0.424342,0.396767,0.027574,0.098281,0.038158,0.689682
near_dog_logit_no_serve_return,tune,0.25,0.01,59,0.491525,2.389919,0.432202,0.3968,0.035402,0.149475,0.059324,0.688351
near_dog_logit_no_serve_return,tune,0.25,0.02,44,0.522727,2.383821,0.437846,0.395533,0.042313,0.221529,0.084881,0.693355
near_dog_logit_no_serve_return,tune,0.25,0.03,33,0.515152,2.376436,0.444503,0.395919,0.048584,0.192118,0.070649,0.682507
near_dog_logit_no_serve_return,tune,0.25,0.05,9,0.555556,2.338889,0.467417,0.398823,0.068595,0.287778,0.088138,0.697445
near_dog_logit_no_serve_return,tune,0.25,0.07,3,0.666667,2.32,0.484927,0.402231,0.082697,0.526667,0.181739,0.71036
near_dog_logit_no_serve_return,tune,0.25,0.1,0,,,,,,,,
near_dog_logit_no_serve_return,tune,0.5,0.0,80,0.4625,2.396989,0.451916,0.396767,0.055149,0.098281,0.010584,0.685819
near_dog_logit_no_serve_return,tune,0.5,0.01,71,0.464789,2.401629,0.457559,0.396092,0.061466,0.097803,0.00723,0.682682
near_dog_logit_no_serve_return,tune,0.5,0.02,59,0.491525,2.389919,0.467603,0.3968,0.070803,0.149475,0.023922,0.682478
near_dog_logit_no_serve_return,tune,0.5,0.03,51,0.470588,2.384276,0.474927,0.396943,0.077984,0.097005,0.004338,0.674035
near_dog_logit_no_serve_return,tune,0.5,0.05,36,0.5,2.364048,0.492056,0.398567,0.093489,0.155275,0.007944,0.67617
near_dog_logit_no_serve_return,tune,0.5,0.07,28,0.535714,2.378677,0.497663,0.39484,0.102823,0.244481,0.038052,0.679097
near_dog_logit_no_serve_return,tune,0.5,0.1,9,0.555556,2.338889,0.536012,0.398823,0.13719,0.287778,0.019543,0.68429
near_dog_logit_no_serve_return,tune,0.75,0.0,80,0.4625,2.396989,0.479491,0.396767,0.082723,0.098281,0.016991,0.686834
near_dog_logit_no_serve_return,tune,0.75,0.01,75,0.466667,2.392505,0.485501,0.397582,0.087919,0.098884,0.018834,0.684155
near_dog_logit_no_serve_return,tune,0.75,0.02,67,0.462687,2.397957,0.493237,0.396604,0.096633,0.088717,0.03055,0.680456
near_dog_logit_no_serve_return,tune,0.75,0.03,59,0.491525,2.389919,0.503005,0.3968,0.106205,0.149475,0.011479,0.68316
near_dog_logit_no_serve_return,tune,0.75,0.05,50,0.48,2.376962,0.516514,0.398134,0.11838,0.118946,0.036514,0.680498
near_dog_logit_no_serve_return,tune,0.75,0.07,37,0.513514,2.366435,0.537268,0.398815,0.138452,0.190332,0.023754,0.680504
near_dog_logit_no_serve_return,tune,0.75,0.1,31,0.516129,2.380561,0.544792,0.395542,0.14925,0.196448,0.028662,0.675669
near_dog_logit_no_serve_return,tune,1.0,0.0,80,0.4625,2.396989,0.507065,0.396767,0.110298,0.098281,0.044565,0.693238
near_dog_logit_no_serve_return,tune,1.0,0.01,76,0.460526,2.392275,0.513359,0.397512,0.115847,0.084425,0.052833,0.688719
near_dog_logit_no_serve_return,tune,1.0,0.02,71,0.464789,2.401629,0.519025,0.396092,0.122933,0.097803,0.054236,0.691152
near_dog_logit_no_serve_return,tune,1.0,0.03,65,0.461538,2.395047,0.528786,0.396847,0.131939,0.083755,0.067247,0.686821
near_dog_logit_no_serve_return,tune,1.0,0.05,55,0.490909,2.382374,0.546097,0.397358,0.148739,0.141405,0.055188,0.689688
near_dog_logit_no_serve_return,tune,1.0,0.07,49,0.469388,2.380573,0.557243,0.397605,0.159639,0.096883,0.087856,0.690804
near_dog_logit_no_serve_return,tune,1.0,0.1,36,0.5,2.364048,0.585545,0.398567,0.186979,0.155275,0.085545,0.693129
near_dog_logit_no_recent_form,tune,0.25,0.0,80,0.425,2.400515,0.428465,0.395821,0.032644,0.011074,0.003465,0.677951
near_dog_logit_no_recent_form,tune,0.25,0.01,63,0.396825,2.379819,0.439253,0.399018,0.040235,-0.074014,0.042427,0.660432
near_dog_logit_no_recent_form,tune,0.25,0.02,52,0.461538,2.379771,0.444444,0.398708,0.045736,0.073791,0.017094,0.678321
near_dog_logit_no_recent_form,tune,0.25,0.03,40,0.5,2.351089,0.454598,0.402499,0.0521,0.166497,0.045402,0.698542
near_dog_logit_no_recent_form,tune,0.25,0.05,21,0.47619,2.352617,0.465233,0.40145,0.063783,0.113355,0.010957,0.693394
near_dog_logit_no_recent_form,tune,0.25,0.07,4,0.5,2.27,0.495354,0.409399,0.085954,0.125,0.004646,0.700513
near_dog_logit_no_recent_form,tune,0.25,0.1,1,0.0,2.38,0.497756,0.391304,0.106452,-1.0,0.497756,0.68867
near_dog_logit_no_recent_form,tune,0.5,0.0,80,0.425,2.400515,0.46111,0.395821,0.065289,0.011074,0.03611,0.679287
near_dog_logit_no_recent_form,tune,0.5,0.01,70,0.414286,2.385473,0.472261,0.398339,0.073922,-0.024524,0.057975,0.672539
near_dog_logit_no_recent_form,tune,0.5,0.02,63,0.396825,2.379819,0.479488,0.399018,0.08047,-0.074014,0.082662,0.663074
near_dog_logit_no_recent_form,tune,0.5,0.03,56,0.446429,2.385905,0.48518,0.397821,0.087359,0.041734,0.038751,0.674703
near_dog_logit_no_recent_form,tune,0.5,0.05,46,0.5,2.360013,0.499629,0.40185,0.097779,0.162111,0.000371,0.689629
near_dog_logit_no_recent_form,tune,0.5,0.07,33,0.515152,2.337742,0.516407,0.403738,0.112669,0.188027,0.001255,0.689791
near_dog_logit_no_recent_form,tune,0.5,0.1,21,0.47619,2.352617,0.529016,0.40145,0.127566,0.113355,0.052826,0.699257
near_dog_logit_no_recent_form,tune,0.75,0.0,80,0.425,2.400515,0.493754,0.395821,0.097933,0.011074,0.068754,0.687411
